<S> w a n d e r e,wandered
<S> s p,spoke
<S> f e e l i n,feeling
<S> l i,library
<S> c a l l e,called
<S> s l y t,slytherin
<S> s a,saw
<S> h o,however
<S> a,as
<S> c e r t a,certainly
<S> t h r o,through
<S> f,feeling
<S> u p s,upstairs
<S> e x a c t,exactly
<S> e v,everything
<S> l a u,laughed
<S> r e m e m,remembrall
<S> f i,five
<S> c e r t a i,certainly
<S> w,we
<S> w,wanted
<S> r,remember
<S> t,things
<S> h o g w,hogwarts
<S> s o m e,something
<S> p r,professor
<S> l i s t,listening
<S> m i r r,mirror
<S> p e r c,percy
<S> s t,stay
<S> l i k,like
<S> o u,out
<S> e x p,expected
<S> f,famous
<S> b e e,been
<S> v e,very
<S> a n y w,anyway
<S> w a,was
<S> u,uncle
<S> i,invisibility
<S> g r,grounds
<S> o,only
<S> m u,much
<S> a,afternoon
<S> d r o p,dropped
<S> i,is
<S> t i m,time
<S> a,at
<S> s,stared
<S> s,seemed
<S> a n y t h i,anything
<S> s,same
<S> c l o a,cloak
<S> t a k e,taken
<S> v o i,voice
<S> l a,later
<S> n o,now
<S> m u g g l e,muggles
<S> h o o,hooch
<S> c h r i,christmas
<S> p e t u n i,petunia
<S> n,now
<S> u,unicorn
<S> a,an
<S> g,gasped
<S> m,make
<S> c,classroom
<S> h a,had
<S> s e c,second
<S> g o,going
<S> i,it
<S> f r,friends
<S> r i g h,right
<S> w e a s,weasley
<S> b,best
<S> e v,even
<S> s a y i n,saying
<S> f a c,face
<S> d u m b l e d,dumbledore's
<S> d e a,dear
<S> h,her
<S> d u d,dudley's
<S> y e,yes
<S> k i t,kitchen
<S> n e v e,never
<S> g o i,going
<S> f o o t s t e p,footsteps
<S> l,look
<S> t h,then
<S> n e r v o u s l,nervously
<S> s i n c,since
<S> t h r o u,through
<S> f,for
<S> f,feet
<S> w a,way
<S> c h r i s,christmas
<S> s l y t h,slytherin
<S> h o r r,horrible
<S> y,you're
<S> c,chapter
<S> d o n ',don't
<S> l,look
<S> o,one
<S> c r o,crowd
<S> i,is
<S> s,say
<S> f i r e n z,firenze
<S> h a n d,handkerchief
<S> r,ronan
<S> p o t,potter
<S> c,common
<S> t h e,there
<S> s e,seen
<S> a,aunt
<S> w,wasn't
<S> d,don't
<S> s a,said
<S> t h i n k i n,thinking
<S> m,my
<S> i ',i've
<S> h i g,high
<S> s,saying
<S> w,we'll
<S> g o i n,going
<S> l a t,later
<S> o,on
<S> s t a,stay
<S> s h,she
<S> f,forget
<S> w,way
<S> h a,have
<S> p u,put
<S> l,little
<S> j u s,just
<S> t,the
<S> m,my
<S> k i t c,kitchen
<S> y,yet
<S> k e,keep
<S> t,time
<S> f e,few
<S> l i,little
<S> t,their
<S> u n d e r s t a n,understand
<S> m,moment
<S> t a,take
<S> l e t,letter
<S> s,she
<S> f r,front
<S> p o r,portrait
<S> e x a c t l,exactly
<S> i n,invisibility
<S> w o n d,wonder
<S> m i n u t,minutes
<S> o n,one
<S> e v,every
<S> d o,door
<S> q u a,quaffle
<S> m,mean
<S> g r i n g o t t,gringotts
<S> k n,knocked
<S> h,him
<S> c o r,corridor
<S> m,morning
<S> b r i l l i a n,brilliant
<S> t h r,throwing
<S> r,ron
<S> a g a i n s,against
<S> s p o,spotted
<S> a,at
<S> t o,tonight
<S> n,never
<S> h o,how
<S> h o w,however
<S> d u n g e,dungeons
<S> t h r o u g,through
<S> w,which
<S> s t a,stand
<S> f,find
<S> g r a,granger
<S> h,had
<S> s,so
<S> h e,he's
<S> s u d d e,suddenly
<S> m a l f,malfoy
<S> c,climbed
<S> m,muggles
<S> p l a c,place
<S> g r a n,granger
<S> b o,book
<S> t h,thanks
<S> f o,followed
<S> s,snape
<S> a,an
<S> d i r e c t i o,direction
<S> b,bit
<S> o,onto
<S> t h e,them
<S> f l,flitwick
<S> h,had
<S> t,thought
<S> w,walked
<S> a s k,asked
<S> p o t t,potter
<S> p o t i,potions
<S> n i m,nimbus
<S> b,broomstick
<S> q u i,quietly
<S> e l s,else
<S> s o r,sorry
<S> s u g g e s t e,suggested
<S> t,three
<S> u n,uncle
<S> c,called
<S> t a l k i,talking
<S> t,those
<S> c h r i s t,christmas
<S> w h,why
<S> c a s t l,castle
<S> a g a,again
<S> c,cupboard
<S> t h o u s,thousand
<S> h o g w a,hogwarts
<S> l o,looked
<S> w a,want
<S> t w e l v,twelve
<S> n o,not
<S> t h e r,there
<S> n i m b,nimbus
<S> w a,way
<S> p r,practice
<S> d o n,don'
<S> f e,felt
<S> h o u,house
<S> d o e,does
<S> w o u,wouldn't
<S> w,was
<S> r o,ron
<S> c,careful
<S> f l y i n,flying
<S> u n t i,until
<S> m o t,mother
<S> w e a s l,weasley
<S> c a,cauldron
<S> t e r r i,terrible
<S> y o,you're
<S> v o l d,voldemort
<S> t h,they'd
<S> p l a y i,playing
<S> s l y t h e,slytherin
<S> w e,weren't
<S> s t a i r c a,staircase
<S> f,four
<S> b o o,books
<S> a g,against
<S> a,and
<S> d,did
<S> f l,fluffy
<S> h e a,heads
<S> m a,made
<S> f i,find
<S> l a t e,later
<S> q u i c,quickly
<S> y o u,you're
<S> m i r r o,mirror
<S> i n,into
<S> g o y,goyle
<S> s p o,spoke
<S> y e l l e,yelled
<S> w o n d e,wonder
<S> l o,look
<S> w i z a,wizard
<S> h i m,himself
<S> a l,all
<S> t o o,took
<S> t r,tried
<S> d u r s l e,dursleys
<S> i,i'm
<S> y,yeh
<S> o n,onto
<S> o,owl
<S> f u r i,furiously
<S> b,been
<S> b o o k,books
<S> s p o t,spotted
<S> w a,wand
<S> o v e,over
<S> y,you
<S> h e,here
<S> b e,been
<S> w e,were
<S> s t u d,students
<S> t w,two
<S> f e l,felt
<S> l o o,look
<S> h,he
<S> t e,ter
<S> q u i,quite
<S> r o u,round
<S> a n y t h i n,anything
<S> i n t e,interesting
<S> w h,which
<S> d,do
<S> f,fred
<S> f,finally
<S> f i n,find
<S> s t a n,stand
<S> w a n,wand
<S> f o,following
<S> p e t u n i,petunia
<S> t h,there's
<S> t h r e e h e,threeheaded
<S> h a,haven't
<S> w a t c,watching
<S> c u,cupboard
<S> t e,tell
<S> w a n,want
<S> m a,magic
<S> e,end
<S> s h,shut
<S> t r o l,troll
<S> b e l i,believe
<S> a f,afternoon
<S> s o m,somethin'
<S> n i,nice
<S> y o u ',you're
<S> f o l,following
<S> t o w a r,toward
<S> p,past
<S> q u i r r,quirrell's
<S> b,being
<S> m u r m,murmured
<S> l u c k,lucky
<S> b l,black
<S> h a l,hall
<S> h e r m i,hermione
<S> b l u d,bludgers
<S> b o,books
<S> b,both
<S> a g a i,again
<S> a n,and
<S> o,our
<S> w e r,weren't
<S> e v e,every
<S> t h,those
<S> s h o u,shouted
<S> p,petunia
<S> h o r r i,horrible
<S> a,are
<S> w,well
<S> w o u l,wouldn't
<S> a,ask
<S> e v e,everything
<S> g e o,george
<S> s t a i r c a s,staircase
<S> s e,seemed
<S> t h e,they're
<S> m o,moment
<S> u n d,under
<S> s a,say
<S> h a r,harry
<S> r e a,reached
<S> t h a,that
<S> g r i,gringotts
<S> y o,your
<S> f o,for
<S> b a,back
<S> l i t,little
<S> h a r r,harry
<S> t,taken
<S> u p s t,upstairs
<S> f r i,friends
<S> b e l i e,believe
<S> d,didn't
<S> t h,the
<S> h a v,haven't
<S> q u i r r e,quirrell's
<S> e i,either
<S> a,all
<S> h,hall
<S> o,out
<S> w,want
<S> b e,being
<S> h a n d k,handkerchief
<S> d o n,done
<S> h e,her
<S> a p p e a,appeared
<S> m,malfoy's
<S> y,yeah
<S> t,through
<S> r,right
<S> w a n d e r i n,wandering
<S> o u t,outside
<S> s h o u t,shouted
<S> t e r r i b,terrible
<S> a l,all
<S> m i n u t e,minutes
<S> m i g h,might
<S> f l,floor
<S> b e l i e v,believe
<S> e,eyes
<S> n i,night
<S> f,fred
<S> o,old
<S> m e,mean
<S> l e t t,letter
<S> g o,good
<S> f i n i,finished
<S> n o,noticed
<S> l o,look
<S> h o l,holidays
<S> s a,saying
<S> l,later
<S> f,finished
<S> s,stand
<S> y o u ' r,you're
<S> y o,you'd
<S> u,up
<S> m u g g l,muggle
<S> s t a r i,staring
<S> s n,snape
<S> s u g,suggested
<S> t h e y,they're
<S> a n,anythin'
<S> o,once
<S> g r,ground
<S> d u d,dudley
<S> w a,wasn't
<S> t,these
<S> a g a,against
<S> b e f,before
<S> h,he
<S> t h e y ',they're
<S> f o r g,forgotten
<S> s t u d e,students
<S> f a m,families
<S> a,an
<S> r a t,rather
<S> d u m b l e d o,dumbledore's
<S> a s k e,asked
<S> w,wandering
<S> l,left
<S> n,need
<S> b l a,black
<S> s a y,saying
<S> s t,station
<S> s,stop
<S> t u r n i,turning
<S> f a m i,family
<S> i,it
<S> t h e,they
<S> t,thinking
<S> i ',i'm
<S> f,floor
<S> d u r s l e y,dursleys
<S> a b o,about
<S> a s,ask
<S> c o u,could
<S> c l o a,cloak
<S> o u t s,outside
<S> w,way
<S> l,lucky
<S> w h,what
<S> w i l,will
<S> c a u,cauldron
<S> w i t h o,without
<S> m,more
<S> i m p o r t a n,important
<S> d i f f e r,different
<S> c a m,came
<S> a,all
<S> w,we
<S> c o,common
<S> b r e,breakfast
<S> f u,full
<S> h o w l i n,howling
<S> d,down
<S> y,yes
<S> c,came
<S> b u s i n,business
<S> m c g o n a g,mcgonagall's
<S> e v e,evening
<S> f i,first
<S> s t o p p e,stopped
<S> b,by
<S> s l y t h e r,slytherin
<S> l,little
<S> f e,feeling
<S> h a g r,hagrid's
<S> w a,walked
<S> p,place
<S> l i b,library
<S> w,without
<S> m a g,magic
<S> y e,yeah
<S> f e l,fell
<S> b e t,better
<S> b o,boy
<S> g r o,ground
<S> p o r t,portrait
<S> e v e r,everything
<S> m,me
<S> f,first
<S> a,again
<S> g r a n g,granger
<S> c h,chapter
<S> h,head
<S> e v e,everyone
<S> d i f f e r e,different
<S> s t,stand
<S> h,harry
<S> a,an
<S> e n,enough
<S> s u p p o,suppose
<S> c u p,cupboard
<S> f,find
<S> i n v,invisibility
<S> f o l,follow
<S> l i b r,library
<S> l i b r a,library
<S> s t e p p e,stepped
<S> f i,finished
<S> d,direction
<S> y o,you'll
<S> h,her
<S> b e t t,better
<S> y,youknowwho
<S> t h a,that's
<S> h a,harry
<S> h i,him
<S> l a,later
<S> b e i,being
<S> m u c,much
<S> f u r i o,furiously
<S> w,we
<S> w h e,when
<S> y o u,you'll
<S> n,no
<S> f,face
<S> m a d,made
<S> f a,face
<S> t h,their
<S> t h e,there's
<S> d o o,door
<S> l o o,look
<S> c h o c,chocolate
<S> l a s,last
<S> i,i'm
<S> t h,thought
<S> a w a,away
<S> m,made
<S> f a,famous
<S> w e r,were
<S> v e r,very
<S> l o o k,looking
<S> f o l l,following
<S> f l,floor
<S> c,caught
<S> t r y i,trying
<S> o u,out
<S> f l i,flitwick
<S> s c h o o,school
<S> s o m e,someone
<S> g i v,give
<S> l i s t e,listening
<S> t,two
<S> y o,you
<S> s o m e,somethin'
<S> w e r e,weren't
<S> y,yer
<S> a,air
<S> b e i n,being
<S> b,boy
<S> g i a,giant
<S> w e,we'll
<S> s t a r i n,staring
<S> m,me
<S> n e v,neville
<S> t h o,those
<S> i,is
<S> b a c,back
<S> w,wonder
<S> l i,little
<S> s,so
<S> d,door
<S> p,peeves
<S> a,an
<S> n o,norbert
<S> f,for
<S> l,look
<S> u,until
<S> h o r r i b,horrible
<S> f l u,fluffy
<S> l o,loudly
<S> p r a,practice
<S> q u i c k,quickly
<S> s h,should
<S> s,saw
<S> p,pulled
<S> b r e a,breakfast
<S> h,his
<S> e v e,ever
<S> t w e l v,twelve
<S> s,staring
<S> w o u l,would
<S> c h o c o,chocolate
<S> g,go
<S> o,out
<S> f l,flamel
<S> t r i,tried
<S> i ' v,i've
<S> f i,first
<S> s o m e o,someone
<S> p a,past
<S> a,after
<S> s t a,stand
<S> g,get
<S> m o,more
<S> y,yourself
<S> w a t c h,watching
<S> c e i,ceiling
<S> w h,where
<S> h a l l,halloween
<S> t h r e e h e a,threeheaded
<S> t h e r,there's
<S> o u,our
<S> n a,name
<S> c h a r l,charlie
<S> t o,told
<S> b,by
<S> a l,almost
<S> l i g,light
<S> f u r i o u,furiously
<S> p e,people
<S> a,away
<S> w a l,walked
<S> h a,hands
<S> u n,until
<S> c h o c o l,chocolate
<S> a l,along
<S> h e a,hear
<S> q,quirrell
<S> w,wand
<S> p u,pulled
<S> h,he
<S> t h e r e,there's
<S> y e,yer
<S> p,people
<S> s,somewhere
<S> s t i,still
<S> t h e,they'd
<S> c o m i n,coming
<S> l,like
<S> a,around
<S> s e a m,seamus
<S> e m,empty
<S> l,last
<S> p r i,privet
<S> e y,eyes
<S> s h u,shut
<S> e v e r,everyone
<S> c a,called
<S> f r i e,friends
<S> o n t,onto
<S> y e,yet
<S> s,so
<S> h a g r,hagrid
<S> s c h o,school
<S> s u d d e n,suddenly
<S> b o o,book
<S> k e e,keep
<S> d u d l,dudley's
<S> o,old
<S> m o m,moment
<S> s n a,snape
<S> w,walking
<S> t,though
<S> d u m,dumbledore
<S> m o,moved
<S> e,ever
<S> d u r s,dursleys
<S> d,do
<S> g i a n,giant
<S> p u s,pushed
<S> a r,around
<S> f e e,feeling
<S> b o,boy
<S> e v e r y,everything
<S> s o m e t,something
<S> d o,don't
<S> q u,quirrell
<S> d,doing
<S> v e,vernon
<S> h a,hall
<S> o f,off
<S> n o t h i n,nothing
<S> s o m e t h,something
<S> f,firenze
<S> p e,peeves
<S> c a,came
<S> t o l,told
<S> w h i,which
<S> o t h,others
<S> l e t t e,letter
<S> c u p b,cupboard
<S> p r i v,privet
<S> w h,who
<S> o u,out
<S> a b o u,about
<S> p e e,peeves
<S> d,does
<S> s o m e t,somethin'
<S> l o,look
<S> m a,madam
<S> a,at
<S> s,stay
<S> t,twelve
<S> g r i n,gringotts
<S> p o t t e,potter
<S> t h,things
<S> a n,answer
<S> h,he
<S> p e,petunia
<S> f e,feet
<S> p,potter
<S> i,is
<S> d i,direction
<S> w,won't
<S> w e,well
<S> s m a,small
<S> d o,down
<S> c a l,called
<S> d,do
<S> f,fred
<S> b e c a u,because
<S> b l u d g,bludgers
<S> s t a i r c a,staircase
<S> p r i v e,privet
<S> t e l,tell
<S> m,my
<S> l a r,large
<S> l e,left
<S> a,and
<S> r,robes
<S> h e a r,heard
<S> d,don'
<S> h,howling
<S> p o i,points
<S> g r i n g,gringotts
<S> e v e r y,everyone
<S> t u r n e,turned
<S> d u d l e,dudley's
<S> t,there
<S> j o r d,jordan
<S> y o u ',you'll
<S> w h e,where
<S> e v e r,every
<S> h,hermione's
<S> a u,aunt
<S> w,we
<S> b l u d g e,bludgers
<S> c e r t a i n,certainly
<S> n a m,name
<S> t,they
<S> s t,stared
<S> m c g o n,mcgonagall
<S> g a,gasped
<S> s,see
<S> d i,didn't
<S> f i r,first
<S> o t,other
<S> s e e,seemed
<S> m a l f o,malfoy
<S> h,hope
<S> r e,really
<S> d i d,didn't
<S> b i,bit
<S> m c g o n a g a,mcgonagall's
<S> t h e y,they'd
<S> f a m i,families
<S> b e e,been
<S> c o r,corner
<S> s t r a i,straight
<S> m u t t e r,muttered
<S> c e r t a i n l,certainly
<S> l i s t e n,listening
<S> i n s,inside
<S> g r o,grounds
<S> l o o,looked
<S> i n t,into
<S> i t,it's
<S> t h r o,throwing
<S> m e a,mean
<S> a,ask
<S> w h e r,where
<S> o n,only
<S> f e e,feet
<S> e v e r y o,everyone
<S> r a t h,rather
<S> w o u l,would
<S> y o u ' l,you'll
<S> a,another
<S> a,an
<S> f o r e s,forest
<S> w e ',we'll
<S> n i c o l,nicolas
<S> c a,careful
<S> f o l l,follow
<S> e y e,eyes
<S> n o t,noticed
<S> h e,head
<S> q u,quidditch
<S> m,my
<S> t e r r i b l,terrible
<S> k n e,knew
<S> m a,make
<S> r e m e,remembrall
<S> m a k,make
<S> t h a t,that's
<S> t h o u g h,thought
<S> w o,wonder
<S> f l o,floor
<S> o u,our
<S> u n d e,under
<S> t,too
<S> f o,forget
<S> d,do
<S> h,he
<S> f u r i o u s,furiously
<S> c a l,called
<S> b r o,brought
<S> c a r,careful
<S> s u g g,suggested
<S> i,i've
<S> m o v,moved
<S> p r o b,probably
<S> t,trying
<S> t,toward
<S> d,dudley's
<S> e v e,even
<S> o t h e,others
<S> g,give
<S> n,nothing
<S> d,disappeared
<S> w,while
<S> c,carefully
<S> c o r r,corridor
<S> s h o,should
<S> r e,read
<S> s e c r e,secret
<S> p e t,petunia
<S> a n s,answer
<S> s o,somewhere
<S> s h o u l d n,shouldn't
<S> w e a s l e,weasley
<S> l i s t e,listen
<S> g,great
<S> d u m b l e d o r,dumbledore's
<S> r o,ronan
<S> h o g w a r,hogwarts
<S> t h,there
<S> p o t i o,potions
<S> s o m e t h,somethin'
<S> s o m,somewhere
<S> d u r s l,dursleys
<S> m c g o n a g a l,mcgonagall's
<S> h o,hope
<S> d,dark
<S> w h,what's
<S> r e,remember
<S> t h a t ',that's
<S> c l,climbed
<S> f i n,finished
<S> c o m i n,coming
<S> h o l i,holidays
<S> w o u l d,wouldn't
<S> s o m e t h i,somethin'
<S> s o m e t h i,something
<S> t r,try
<S> e v e r y t,everything
<S> t,them
<S> s,still
<S> y,you
<S> k,keep
<S> m u t t e r e,muttered
<S> b e e,been
<S> n e r v,nervously
<S> s,shook
<S> o,one
<S> t a,table
<S> w a l k,walked
<S> d u r s l e,dursleys
<S> a n y,anythin'
<S> w h a,what
<S> u,understand
<S> t h,them
<S> c l o,close
<S> s t a n,stand
<S> a i,air
<S> n o t i,noticed
<S> s,sitting
<S> n o i,noise
<S> w a,wandering
<S> n e,never
<S> y o u ' v,you've
<S> t h i,things
<S> s t,stay
<S> u n,unicorn
<S> w,went
<S> a u n,aunt
<S> w i z a r,wizard
<S> i,isn't
<S> t o n,tonight
<S> t,to
<S> p,percy
<S> f a m i l,families
<S> f,fell
<S> r a t h e,rather
<S> i ',i've
<S> w,whispered
<S> s a i,said
<S> p e,people
<S> q u e s t i o,questions
<S> b l u d g e,bludger
<S> e v e r y o n,everyone
<S> a n s w,answer
<S> h u,hurried
<S> p r o,professor
<S> t,ter
<S> o n t,onto
<S> w h,who
<S> m o,morning
<S> a,anyone
<S> g,gone
<S> a,anything
<S> b r o u,brought
<S> f a m i l i,families
<S> w h i t,white
<S> a l m,almost
<S> c o m,common
<S> s h,she
<S> i,in
<S> h o l i d,holidays
<S> t h e r e ',there's
<S> i,is
<S> f i v,five
<S> q u i e,quietly
<S> a,air
<S> d u d l,dudley
<S> t,took
<S> h o u s,house
<S> d,dudley's
<S> y o,yourself
<S> l o,long
<S> o p e,open
<S> c a,carefully
<S> f i n i,finished
<S> e i t,either
<S> d i r,direction
<S> m u r m u,murmured
<S> s n a p,snape
<S> r,really
<S> w o r,words
<S> s e c o,second
<S> i n s i,inside
<S> w h,while
<S> q u i e t,quietly
<S> r o n,ronan
<S> w,with
<S> g,got
<S> s i,sitting
<S> w,who
<S> s,she
<S> y o,youknowwho
<S> s o r c e r e r ',sorcerer's
<S> p o i,pointing
<S> f,father
<S> b e i,being
<S> m e,mean
<S> f i r s,first
<S> g r o u,ground
<S> m,mirror
<S> d o,done
<S> m,minutes
<S> s t u d e n,students
<S> l a u g,laughed
<S> s e e m,seemed
<S> e,eyes
<S> g o,gone
<S> t a b,table
<S> l a r g,large
<S> l i,like
<S> s,said
<S> s,sound
<S> g a s,gasped
<S> h o g w a r t,hogwarts
<S> h,horrible
<S> q u i,quidditch
<S> t,train
<S> g e t t i n,getting
<S> s,snape
<S> d r o p p,dropped
<S> w,what
<S> u n i,unicorn
<S> f o l l o,follow
<S> p e o,people
<S> w o r d,words
<S> h e r,here
<S> f e,few
<S> p e o p,people
<S> o l,old
<S> n,name
<S> a l,already
<S> l,left
<S> e,even
<S> v e r,vernon
<S> t r,trying
<S> s i t,sitting
<S> p l a,platform
<S> h o l d,holding
<S> m u,muggles
<S> g,getting
<S> f l o o,floor
<S> h a l,hall
<S> m u,must
<S> f i,finally
<S> a f,after
<S> m,might
<S> e v,ever
<S> g e,getting
<S> s c h o o,school
<S> s,stand
<S> p o r t r,portrait
<S> t,turned
<S> a,about
<S> h o l i d a,holidays
<S> l i b r a r,library
<S> d,do
<S> c e i l,ceiling
<S> e m p,empty
<S> m,muttered
<S> j o r d a,jordan
<S> f,fred
<S> a g a i,against
<S> q u i c k l,quickly
<S> s l y,slytherins
<S> f i n,finally
<S> i,in
<S> g a s p,gasped
<S> h e ',he's
<S> i,is
<S> m o t h,mother
<S> a l m o,almost
<S> p o i n,points
<S> h,house
<S> s t,staring
<S> t h o,thought
<S> p a,parents
<S> m e a,mean
<S> t h i,thing
<S> s n a p e ',snape's
<S> f o r,forget
<S> t,terrible
<S> s,school
<S> o t h,other
<S> d i d n,didn't
<S> s l y t,slytherins
<S> m o v e,moved
<S> o,on
<S> g r o u,grounds
<S> f i n a,finally
<S> s,snape's
<S> u,up
<S> b e c a u s,because
<S> d u n g e o,dungeons
<S> s h o u,should
<S> h a l l o,halloween
<S> s e,see
<S> g i,give
<S> d i,disappeared
<S> h o w e,however
<S> t a k,take
<S> c a,caught
<S> t,this
<S> c a r e,careful
<S> b,back
<S> i m p o r t a,important
<S> e v,even
<S> a r o,around
<S> c a l l,called
<S> h a r,harry
<S> f o,for
<S> w a,wand
<S> m,my
<S> t o,too
<S> w h i,while
<S> b,bit
<S> n a,name
<S> o u t s i,outside
<S> w,walked
<S> t o g,together
<S> s a,same
<S> y,you'll
<S> w a s,wasn't
<S> k e,keep
<S> s,say
<S> f a m i l,family
<S> f o r w a,forward
<S> h o w e v,however
<S> p r a c,practice
<S> h o,house
<S> d o,don'
<S> a n,anyone
<S> f o,four
<S> h u,hufflepuff
<S> d o n,don'
<S> f i,find
<S> s,stopped
<S> t o,toward
<S> a c r o s,across
<S> m,me
<S> b e t t e,better
<S> i n t e r,interesting
<S> c o,come
<S> c,cloak
<S> q u e s t i o n,questions
<S> t h r o w,throwing
<S> k,know
<S> r o,robes
<S> e v e,even
<S> i n t e r e,interesting
<S> t,than
<S> a,aunt
<S> r,ron
<S> y o,you
<S> g r,ground
<S> s t a,staring
<S> w,we're
<S> l i t,little
<S> y o,you've
<S> r e a c,reached
<S> l a,last
<S> i,is
<S> w e,we're
<S> q,questions
<S> f r o,front
<S> g e,get
<S> e,exactly
<S> g a s p e,gasped
<S> a g,again
<S> r,ron's
<S> k i t c h,kitchen
<S> s p o k,spoke
<S> d o n,don't
<S> l o o k i,looking
<S> s i t t,sitting
<S> t w,two
<S> g,give
<S> i m p o r t,important
<S> t,twins
<S> c a u l,cauldron
<S> s l y t h e r i,slytherin
<S> h a n,hand
<S> o,over
<S> f,face
<S> t h e,their
<S> o,on
<S> w,white
<S> q u i e t l,quietly
<S> r o,ron
<S> d u d l e,dudley
<S> m a g i,magic
<S> s t,stop
<S> m,magic
<S> p,passed
<S> y o u,you've
<S> s t o,stop
<S> g e t,getting
<S> c a,can
<S> h e r m i o,hermione
<S> t a b l,table
<S> d i f f e r e n,different
<S> t h,these
<S> y e,years
<S> c,cupboard
<S> b e i n,being
<S> l i t t,little
<S> u n c,uncle
<S> t u,turned
<S> b,boy
<S> w e r e n,weren't
<S> t h o s,those
<S> d r o p p e,dropped
<S> p,place
<S> h a v,have
<S> s w,swallowed
<S> s,somethin'
<S> b,be
<S> n e v i,neville
<S> f,full
<S> s i l e n c,silence
<S> g,going
<S> g,gringotts
<S> w a s n,wasn't
<S> h,him
<S> l i t t l,little
<S> t r,try
<S> o t h e r,others
<S> c u,cupboard
<S> o,over
<S> b,by
<S> n,not
<S> t o n i,tonight
<S> s t a,station
<S> h a r d l,hardly
<S> a,asked
<S> d a,dark
<S> s n,snape
<S> t,then
<S> k i t c h e,kitchen
<S> o,of
<S> s t u f,stuff
<S> t h,think
<S> t h e,there
<S> l a u g h,laughed
<S> g i,give
<S> p l a y i n,playing
<S> u,under
<S> r,room
<S> e,even
<S> w i,with
<S> h i,his
<S> b,by
<S> t h o u,thought
<S> h,horrible
<S> h u f,hufflepuff
<S> d u m b l e d o r e,dumbledore's
<S> w,when
<S> g r y f,gryffindors
<S> a l r,already
<S> y o u ',you've
<S> c r o w,crowd
<S> r o b,robes
<S> s a m,same
<S> c l,classroom
<S> f i n a l,finally
<S> d e a,dear
<S> u p s t a,upstairs
<S> q u i t,quite
<S> y,yer
<S> m u g,muggles
<S> i s,isn't
<S> m,muggle
<S> d i f f e r e,different
<S> s t,started
<S> v o l d e,voldemort
<S> c o u,couldn't
<S> w,with
<S> t,troll
<S> b l a c,black
<S> t o n i g,tonight
<S> o v,over
<S> c h o c o l a,chocolate
<S> p r o f,professor
<S> i s n,isn't
<S> t,taken
<S> h i m s,himself
<S> i,if
<S> f i n i s,finished
<S> w o u l d n,wouldn't
<S> d i r e,direction
<S> t h,they
<S> s a,say
<S> a n,another
<S> a,as
<S> a g a,again
<S> s e e,seen
<S> m,my
<S> b e h i n,behind
<S> a,any
<S> g o o,good
<S> n e a,nearly
<S> h a,had
<S> r e a c h,reached
<S> c,certainly
<S> c o r r i,corridor
<S> w,where
<S> a l r e,already
<S> i,into
<S> m,much
<S> r e a,read
<S> m a d,madam
<S> m u s,must
<S> t h,this
<S> d o n,done
<S> s o,some
<S> p r o b a,probably
<S> f a,father
<S> y e,yer
<S> a,at
<S> l o n,long
<S> s,stuff
<S> t a,taken
<S> t a l k i n,talking
<S> s,so
<S> p l e,please
<S> p r o b a b,probably
<S> m i,minutes
<S> m u,much
<S> m,magic
<S> c l o s,close
<S> n o r,norbert
<S> s t e p p,stepped
<S> n o r b,norbert
<S> f o l l o,following
<S> f i,five
<S> p a,passed
<S> t h r o w i,throwing
<S> t h,though
<S> h o p,hope
<S> l i s t e n i,listening
<S> c o u l,could
<S> t e,ter
<S> m o t h e,mother
<S> w e ' l,we'll
<S> h a r r y,harry's
<S> r o u n,round
<S> t h,then
<S> w a,way
<S> n e v,never
<S> w,we'll
<S> o,one
<S> w a t c,watched
<S> d o,does
<S> a l o,along
<S> c a n,can't
<S> m i n,mind
<S> s e c o n,second
<S> p u l,pulled
<S> t r i e,tried
<S> t,the
<S> b u s i n e,business
<S> f i n a l l,finally
<S> d o,doing
<S> t,talking
<S> b a,back
<S> q u i,quirrell
<S> t h i,this
<S> c,climbed
<S> t,two
<S> t a,talking
<S> f l u f,fluffy
<S> s u d d e n l,suddenly
<S> m u g g,muggles
<S> b,began
<S> p e,percy
<S> h i,him
<S> m u,muttered
<S> g r o u n,grounds
<S> s o m e,somewhere
<S> k e e,keep
<S> h u f f,hufflepuff
<S> e v e,ever
<S> w h,what
<S> s h o u l,should
<S> h,he's
<S> w o n,wonder
<S> c a n ',can't
<S> s n a p,snapped
<S> h e,he's
<S> n o d d,nodded
<S> c o m m,common
<S> d o w,down
<S> v,voice
<S> d,down
<S> e,else
<S> t r y,trying
<S> s,should
<S> s t r a i g,straight
<S> f o l l o w,following
<S> y e a,years
<S> e v e n,evening
<S> f,forest
<S> f,feet
<S> h a r r y ',harry's
<S> t e,terrible
<S> h,hear
<S> p o i n t,points
<S> d r a g,dragon
<S> h o l i d a y,holidays
<S> s o m e o n,someone
<S> s,seen
<S> u,up
<S> t h o u g,thought
<S> p e e v,peeves
<S> h o w e v e,however
<S> a l w a y,always
<S> p r a c t,practice
<S> e m p t,empty
<S> f,family
<S> g o n,gone
<S> w e r e n ',weren't
<S> s e e m e,seemed
<S> p,points
<S> w a t c h,watched
<S> s h o u l d n ',shouldn't
<S> o n,once
<S> d o n ',don't
<S> r o n a,ronan
<S> f e,feet
<S> s u g g e,suggested
<S> s,stone
<S> n e v e,never
<S> f o,forest
